Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[9:0],byte_counter[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
211,1,0,0,0,0,1,1,0,01d0,1,1,00,1,070,58
212,0,1,0,0,1,1,1,1,0374,0,1,00,1,071,58
213,1,0,0,0,0,1,1,0,0374,1,1,00,1,071,58
214,0,1,0,0,1,1,1,1,0004,0,1,00,1,072,58
215,1,0,0,0,0,1,1,0,0004,1,1,00,1,072,58
216,0,1,0,0,1,1,1,1,026a,0,1,00,1,073,58
217,1,0,0,0,0,1,1,0,026a,1,1,00,1,073,58
218,0,1,0,0,1,1,1,1,005e,0,1,00,1,074,58
219,1,0,0,0,0,1,1,0,005e,1,1,00,1,074,58
220,0,1,0,0,1,1,1,1,0032,0,1,00,1,075,58
221,1,0,0,0,0,1,1,0,0032,1,1,00,1,075,58
222,0,1,0,0,1,1,1,1,0022,0,1,00,1,076,58
223,1,0,0,0,0,1,1,0,0022,1,1,00,1,076,58
224,0,1,0,0,1,1,1,1,00c4,0,1,00,1,077,58
225,1,0,0,0,0,1,1,0,00c4,1,1,00,1,077,58
226,0,1,0,0,1,1,1,1,01a8,0,1,00,1,078,58
227,1,0,0,0,0,1,1,0,01a8,1,1,00,1,078,58
228,0,1,0,0,1,1,1,1,0350,0,1,00,1,079,58
229,1,0,0,0,0,1,1,0,0350,1,1,00,1,079,58
230,0,1,0,0,1,1,1,1,016c,0,1,00,1,07a,58
231,1,0,0,0,0,1,1,0,016c,1,1,00,1,07a,58
232,0,1,0,0,1,1,1,1,03aa,0,1,00,1,07b,58
233,1,0,0,0,0,1,1,0,03aa,1,1,00,1,07b,58
234,0,1,0,0,1,1,1,1,03c3,0,1,00,1,07c,58
235,1,0,0,0,0,1,1,0,03c3,1,1,00,1,07c,58
236,0,1,0,0,1,1,1,1,03e5,0,1,00,1,07d,58
