Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[6:0],byte_counter[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
241,1,0,0,0,0,1,1,0,030d,1,1,00,1,61,216
242,2,0,0,0,0,1,1,0,030d,0,1,00,1,61,217
243,3,0,0,0,0,1,1,0,030d,0,1,00,1,61,217
244,4,0,0,0,0,1,1,0,030d,1,1,00,1,61,217
245,5,0,0,0,0,1,1,0,030d,0,1,00,1,61,218
246,6,0,0,0,0,1,1,0,030d,0,1,00,1,61,218
247,7,0,0,0,0,1,1,0,030d,0,1,00,1,61,218
248,0,1,0,0,1,1,1,1,0015,0,1,00,1,62,216
249,1,0,0,0,0,1,1,0,0015,1,1,00,1,62,216
250,2,0,0,0,0,1,1,0,0015,0,1,00,1,62,217
251,3,0,0,0,0,1,1,0,0015,0,1,00,1,62,217
252,4,0,0,0,0,1,1,0,0015,1,1,00,1,62,217
253,5,0,0,0,0,1,1,0,0015,0,1,00,1,62,218
254,6,0,0,0,0,1,1,0,0015,0,1,00,1,62,218
255,7,0,0,0,0,1,1,0,0015,0,1,00,1,62,218
256,0,1,0,0,1,1,1,1,009f,0,1,00,1,63,216
257,1,0,0,0,0,1,1,0,009f,1,1,00,1,63,216
258,2,0,0,0,0,1,1,0,009f,0,1,00,1,63,217
259,3,0,0,0,0,1,1,0,009f,0,1,00,1,63,217
260,4,0,0,0,0,1,1,0,009f,1,1,00,1,63,217
261,5,0,0,0,0,1,1,0,009f,0,1,00,1,63,218
262,6,0,0,0,0,1,1,0,009f,0,1,00,1,63,218
263,7,0,0,0,0,1,1,0,009f,0,1,00,1,63,218
264,0,1,0,0,1,1,1,1,039c,0,1,00,1,64,216
265,1,0,0,0,0,1,1,0,039c,1,1,00,1,64,216
266,2,0,0,0,0,1,1,0,039c,0,1,00,1,64,217
267,3,0,0,0,0,1,1,0,039c,0,1,00,1,64,217
268,4,0,0,0,0,1,1,0,039c,1,1,00,1,64,217
269,5,0,0,0,0,1,1,0,039c,0,1,00,1,64,218
270,6,0,0,0,0,1,1,0,039c,0,1,00,1,64,218
271,7,0,0,0,0,1,1,0,039c,0,1,00,1,64,218
272,0,1,0,0,1,1,1,1,0000,0,1,00,1,65,216
273,1,0,0,0,0,1,1,0,0000,1,1,00,1,65,216
274,2,0,0,0,0,1,1,0,0000,0,1,00,1,65,217
275,3,0,0,0,0,1,1,0,0000,0,1,00,1,65,217
276,4,0,0,0,0,1,1,0,0000,1,1,00,1,65,217
277,5,0,0,0,0,1,1,0,0000,0,1,00,1,65,218
278,6,0,0,0,0,1,1,0,0000,0,1,00,1,65,218
279,7,0,0,0,0,1,1,0,0000,0,1,00,1,65,218
280,0,1,0,0,1,1,1,1,006e,0,1,00,1,66,216
281,1,0,0,0,0,1,1,0,006e,1,1,00,1,66,216
282,2,0,0,0,0,1,1,0,006e,0,1,00,1,66,217
283,3,0,0,0,0,1,1,0,006e,0,1,00,1,66,217
284,4,0,0,0,0,1,1,0,006e,1,1,00,1,66,217
285,5,0,0,0,0,1,1,0,006e,0,1,00,1,66,218
286,6,0,0,0,0,1,1,0,006e,0,1,00,1,66,218
287,7,0,0,0,0,1,1,0,006e,0,1,00,1,66,218
288,0,1,0,0,1,1,1,1,0000,0,1,00,1,67,216
289,1,0,0,0,0,1,1,0,0000,1,1,00,1,67,216
290,2,0,0,0,0,1,1,0,0000,0,1,00,1,67,217
291,3,0,0,0,0,1,1,0,0000,0,1,00,1,67,217
292,4,0,0,0,0,1,1,0,0000,1,1,00,1,67,217
293,5,0,0,0,0,1,1,0,0000,0,1,00,1,67,218
294,6,0,0,0,0,1,1,0,0000,0,1,00,1,67,218
295,7,0,0,0,0,1,1,0,0000,0,1,00,1,67,218
296,0,1,0,0,1,1,1,1,0153,0,1,00,1,68,216
297,1,0,0,0,0,1,1,0,0153,1,1,00,1,68,216
298,2,0,0,0,0,1,1,0,0153,0,1,00,1,68,217
299,3,0,0,0,0,1,1,0,0153,0,1,00,1,68,217
300,4,0,0,0,0,1,1,0,0153,1,1,00,1,68,217
301,5,0,0,0,0,1,1,0,0153,0,1,00,1,68,218
302,6,0,0,0,0,1,1,0,0153,0,1,00,1,68,218
303,7,0,0,0,0,1,1,0,0153,0,1,00,1,68,218
304,0,1,0,0,1,1,1,1,03ab,0,1,00,1,69,216
305,1,0,0,0,0,1,1,0,03ab,1,1,00,1,69,216
306,2,0,0,0,0,1,1,0,03ab,0,1,00,1,69,217
307,3,0,0,0,0,1,1,0,03ab,0,1,00,1,69,217
308,4,0,0,0,0,1,1,0,03ab,1,1,00,1,69,217
309,5,0,0,0,0,1,1,0,03ab,0,1,00,1,69,218
310,6,0,0,0,0,1,1,0,03ab,0,1,00,1,69,218
311,7,0,0,0,0,1,1,0,03ab,0,1,00,1,69,218
312,0,1,0,0,1,1,1,1,03de,0,1,00,1,70,216
313,1,0,0,0,0,1,1,0,03de,1,1,00,1,70,216
314,2,0,0,0,0,1,1,0,03de,0,1,00,1,70,217
315,3,0,0,0,0,1,1,0,03de,0,1,00,1,70,217
316,4,0,0,0,0,1,1,0,03de,1,1,00,1,70,217
317,5,0,0,0,0,1,1,0,03de,0,1,00,1,70,218
318,6,0,0,0,0,1,1,0,03de,0,1,00,1,70,218
319,7,0,0,0,0,1,1,0,03de,0,1,00,1,70,218
320,0,1,0,0,1,1,1,1,038e,0,1,00,1,71,216
321,1,0,0,0,0,1,1,0,038e,1,1,00,1,71,216
322,2,0,0,0,0,1,1,0,038e,0,1,00,1,71,217
323,3,0,0,0,0,1,1,0,038e,0,1,00,1,71,217
324,4,0,0,0,0,1,1,0,038e,1,1,00,1,71,217
325,5,0,0,0,0,1,1,0,038e,0,1,00,1,71,218
326,6,0,0,0,0,1,1,0,038e,0,1,00,1,71,218
327,7,0,0,0,0,1,1,0,038e,0,1,00,1,71,218
328,0,1,0,0,1,1,1,1,03ca,0,1,00,1,72,216
329,1,0,0,0,0,1,1,0,03ca,1,1,00,1,72,216
330,2,0,0,0,0,1,1,0,03ca,0,1,00,1,72,217
331,3,0,0,0,0,1,1,0,03ca,0,1,00,1,72,217
332,4,0,0,0,0,1,1,0,03ca,1,1,00,1,72,217
333,5,0,0,0,0,1,1,0,03ca,0,1,00,1,72,218
334,6,0,0,0,0,1,1,0,03ca,0,1,00,1,72,218
335,7,0,0,0,0,1,1,0,03ca,0,1,00,1,72,218
336,0,1,0,0,1,1,1,1,0076,0,1,00,1,73,216
337,1,0,0,0,0,1,1,0,0076,1,1,00,1,73,216
338,2,0,0,0,0,1,1,0,0076,0,1,00,1,73,217
339,3,0,0,0,0,1,1,0,0076,0,1,00,1,73,217
340,4,0,0,0,0,1,1,0,0076,1,1,00,1,73,217
341,5,0,0,0,0,1,1,0,0076,0,1,00,1,73,218
342,6,0,0,0,0,1,1,0,0076,0,1,00,1,73,218
343,7,0,0,0,0,1,1,0,0076,0,1,00,1,73,218
344,0,1,0,0,1,1,1,1,03db,0,1,00,1,74,216
345,1,0,0,0,0,1,1,0,03db,1,1,00,1,74,216
346,2,0,0,0,0,1,1,0,03db,0,1,00,1,74,217
347,3,0,0,0,0,1,1,0,03db,0,1,00,1,74,217
348,4,0,0,0,0,1,1,0,03db,1,1,00,1,74,217
349,5,0,0,0,0,1,1,0,03db,0,1,00,1,74,218
350,6,0,0,0,0,1,1,0,03db,0,1,00,1,74,218
351,7,0,0,0,0,1,1,0,03db,0,1,00,1,74,218
352,0,1,0,0,1,1,1,1,0253,0,1,00,1,75,216
353,1,0,0,0,0,1,1,0,0253,1,1,00,1,75,216
354,2,0,0,0,0,1,1,0,0253,0,1,00,1,75,217
355,3,0,0,0,0,1,1,0,0253,0,1,00,1,75,217
356,4,0,0,0,0,1,1,0,0253,1,1,00,1,75,217
357,5,0,0,0,0,1,1,0,0253,0,1,00,1,75,218
358,6,0,0,0,0,1,1,0,0253,0,1,00,1,75,218
